NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT02107404,Phase II Study of DCVAC/PCa Added After Radical Primary Prostatectomy for Patients With Localized Prostate Cancer,https://clinicaltrials.gov/study/NCT02107404,COMPLETED,Prostate Cancer,BIOLOGICAL: Dendritic Cells DCVAC/PCa,SOTIO a.s.,,INTERVENTIONAL,2017-05-22
NCT02137746,Study to Allow for Second Treatment Cycle of DCVAC in Patients With Localized Prostate Cancer,https://clinicaltrials.gov/study/NCT02137746,COMPLETED,Prostate Cancer,BIOLOGICAL: Dendritic Cells DCVAC/PCa,SOTIO a.s.,,INTERVENTIONAL,2017-03-20
NCT06435351,Personalized Dendritic Cell Vaccine Pilot for High Risk TNBC After Neoadjuvant Therapy,https://clinicaltrials.gov/study/NCT06435351,RECRUITING,Breast Cancer|Triple Negative Breast Cancer,PROCEDURE: Leukapheresis|BIOLOGICAL: Dendritic Cell (DC) Vaccine,H. Lee Moffitt Cancer Center and Research Institute,,INTERVENTIONAL,2029-05
NCT00547144,Phase I/II Intratumoral DC Immunotherapy With Gemcitabine & XRT in Unresectable Pancreatic Cancer,https://clinicaltrials.gov/study/NCT00547144,COMPLETED,Pancreatic Cancer,DRUG: Gemcitabine|PROCEDURE: Dendritic Cell Immunotherapy,George Albert Fisher,,INTERVENTIONAL,2008-04
NCT00458653,Vaccination With Dendritic Cell/Tumor Fusions With Autologous Stem Cell Transplants in Patients With Multiple Myeloma,https://clinicaltrials.gov/study/NCT00458653,COMPLETED,Multiple Myeloma,BIOLOGICAL: Dendritic Cell Tumor Fusion,Beth Israel Deaconess Medical Center,Massachusetts General Hospital|Dana-Farber Cancer Institute|Brigham and Women's Hospital|Rambam Health Care Campus,INTERVENTIONAL,2020-07
NCT00099593,Immunization Against Tumor Cells in Sezary Syndrome,https://clinicaltrials.gov/study/NCT00099593,COMPLETED,Cutaneous T-cell Lymphoma|Sezary Syndrome,BIOLOGICAL: Autologous Dendritic Cell Vaccine,University of Pittsburgh,,INTERVENTIONAL,2007-09
NCT00576641,Immunotherapy for Patients With Brain Stem Glioma and Glioblastoma,https://clinicaltrials.gov/study/NCT00576641,COMPLETED,Brain Stem Glioma|Glioblastoma,BIOLOGICAL: autologous dendritic cells,Cedars-Sinai Medical Center,,INTERVENTIONAL,2012-04
NCT00683670,Dendritic Cells (White Blood Cells) Vaccination for Advanced Melanoma,https://clinicaltrials.gov/study/NCT00683670,COMPLETED,Melanoma,DRUG: cyclophosphamide|BIOLOGICAL: Mature dendritic cell vaccine,University of Pennsylvania,,INTERVENTIONAL,2016-06
NCT01291420,Dendritic Cell Vaccination for Patients With Solid Tumors,https://clinicaltrials.gov/study/NCT01291420,COMPLETED,Glioblastoma|Renal Cell Carcinoma|Sarcomas|Breast Cancers|Malignant Mesothelioma|Colorectal Tumors,BIOLOGICAL: autologous dendritic cell vaccination,"University Hospital, Antwerp",,INTERVENTIONAL,2018-05-05
NCT06195618,Personalized Vaccine for TNBC Immunotherapy,https://clinicaltrials.gov/study/NCT06195618,NOT_YET_RECRUITING,Breast Cancer Female,BIOLOGICAL: Peptide pulsed autologous Dendritic cell,Universidad Nacional de Colombia,Fundación Salud de los Andes,INTERVENTIONAL,2026-06-01
NCT02649829,Autologous Dendritic Cell Vaccination in Mesothelioma,https://clinicaltrials.gov/study/NCT02649829,ACTIVE_NOT_RECRUITING,Malignant Pleural Mesothelioma,BIOLOGICAL: dendritic cell vaccination plus chemotherapy,"University Hospital, Antwerp",Kom Op Tegen Kanker|Stichting tegen Kanker,INTERVENTIONAL,2025-03
NCT00012064,Vaccine Therapy in Treating Patients With Stage IV or Recurrent Melanoma,https://clinicaltrials.gov/study/NCT00012064,COMPLETED,Melanoma (Skin),BIOLOGICAL: therapeutic autologous dendritic cells,"Lisata Therapeutics, Inc.",,INTERVENTIONAL,2011-04
NCT00243594,Dendritic Cell Vaccination in Melanoma Patients Scheduled for Regional Lymph Node Dissection,https://clinicaltrials.gov/study/NCT00243594,COMPLETED,Melanoma Stage III or IV,BIOLOGICAL: Peptide-pulsed dendritic cells,Radboud University Medical Center,Dutch Cancer Society,INTERVENTIONAL,
NCT01826877,Autologous Dendritic Cells in Treating Patients With Metastatic Kidney Cancer,https://clinicaltrials.gov/study/NCT01826877,COMPLETED,Clear Cell Renal Cell Carcinoma|Recurrent Renal Cell Cancer|Stage IV Renal Cell Cancer,BIOLOGICAL: AdGMCAIX-transduced autologous dendritic cells|BIOLOGICAL: therapeutic autologous dendritic cells|OTHER: laboratory biomarker analysis,Jonsson Comprehensive Cancer Center,"Kite, A Gilead Company",INTERVENTIONAL,2021-05-27
NCT01278914,Trial of Vaccine Therapy With mRNA- Transfected Dendritic Cells in Patients With Androgen Resistant Metastatic Prostate Cancer,https://clinicaltrials.gov/study/NCT01278914,COMPLETED,Prostate Cancer,BIOLOGICAL: Dendritic Cells (DC) prostate,Oslo University Hospital,,INTERVENTIONAL,2006-07
NCT04911621,Adjuvant Dendritic Cell Immunotherapy for Pediatric Patients With High-grade Glioma or Diffuse Intrinsic Pontine Glioma,https://clinicaltrials.gov/study/NCT04911621,ACTIVE_NOT_RECRUITING,High Grade Glioma|Diffuse Intrinsic Pontine Glioma,BIOLOGICAL: Dendritic cell vaccination + temozolomide-based chemoradiation|BIOLOGICAL: Dendritic cell vaccination +- conventional next-line treatment,"University Hospital, Antwerp",Kom Op Tegen Kanker|Stichting Semmy|Olivia Hendrickx research Fund vzw,INTERVENTIONAL,2027-06-01
NCT03291444,CAR-T Cells Combined With Peptide Specific Dendritic Cell in Relapsed/Refractory Leukemia/MDS,https://clinicaltrials.gov/study/NCT03291444,RECRUITING,"Leukemia, Acute Lymphocytic (ALL)|Leukemia, Acute Myelogenous (AML)|Myelodysplastic Syndromes",BIOLOGICAL: Chimeric antigen receptor T cells|BIOLOGICAL: peptide specific dendritic cell,Zhujiang Hospital,Shenzhen Geno-Immune Medical Institute|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,INTERVENTIONAL,2025-06-01
NCT01446731,Dendritic Cell Vaccination and Docetaxel for Patients With Prostate Cancer,https://clinicaltrials.gov/study/NCT01446731,COMPLETED,Prostatic Neoplasms,BIOLOGICAL: mRNA transfected dendritic cell|DRUG: Docetaxel,Inge Marie Svane,,INTERVENTIONAL,2015-08
NCT02063724,HER-2 Pulsed DC Vaccine to Prevent Recurrence of Invasive Breast Cancer,https://clinicaltrials.gov/study/NCT02063724,COMPLETED,Breast Cancer,BIOLOGICAL: HER-2 pulsed Dendritic Cell Vaccine,H. Lee Moffitt Cancer Center and Research Institute,Abramson Cancer Center at Penn Medicine,INTERVENTIONAL,2022-09
NCT06524063,Targeted Survivin DC Cell Injection for the Treatment of GBM,https://clinicaltrials.gov/study/NCT06524063,NOT_YET_RECRUITING,Glioblastoma,DRUG: Survivin-loaded dendritic cell injection,Beijing Tricision Biotherapeutics Inc,,INTERVENTIONAL,2027-10-01
NCT04912765,Neoantigen Dendritic Cell Vaccine and Nivolumab in HCC and Liver Metastases From CRC,https://clinicaltrials.gov/study/NCT04912765,RECRUITING,Hepatocellular Carcinoma|Hepatocellular Cancer|Colorectal Cancer|Colorectal Carcinoma|Liver Metastases,BIOLOGICAL: Neoantigen Dendritic Cell Vaccine|DRUG: Nivolumab,"National Cancer Centre, Singapore",Bristol-Myers Squibb,INTERVENTIONAL,2025-05
NCT00103116,"Vaccine Therapy in Treating Patients With Stage I, Stage II, or Stage III Non-small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT00103116,COMPLETED,Lung Cancer,BIOLOGICAL: autologous dendritic cell cancer vaccine,Edward Hirschowitz,National Cancer Institute (NCI),INTERVENTIONAL,2008-04
NCT05773859,NEOadjuvant Dendritic Cell Vaccination for Ovarian Cancer,https://clinicaltrials.gov/study/NCT05773859,RECRUITING,Epithelial Ovarian Cancer|Ovarian Carcinoma,BIOLOGICAL: XP-DC vaccinations,Radboud University Medical Center,,INTERVENTIONAL,2025-10
NCT04523688,Vaccination with Autologous Dendritic Cells Loaded with Autologous Tumour Homogenate in Glioblastoma,https://clinicaltrials.gov/study/NCT04523688,RECRUITING,Glioblastoma|Vaccination,BIOLOGICAL: Autologous Dendritic Cells (DC) vaccine|DRUG: Temozolomide,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,,INTERVENTIONAL,2025-12
NCT00856154,Vaccination With Autologous Dendritic Cells Pulsed With HIV-Antigens for Treatment of Patients With Chronic HIV-Infection,https://clinicaltrials.gov/study/NCT00856154,COMPLETED,HIV Infections,BIOLOGICAL: Peptides on autologous Dendritic Cells,Statens Serum Institut,"Hvidovre University Hospital|Rigshospitalet, Denmark",INTERVENTIONAL,2008-10
NCT02061423,HER-2 Pulsed DC Vaccine to Prevent Recurrence of Invasive Breast Cancer Post Neoadjuvant Chemotherapy,https://clinicaltrials.gov/study/NCT02061423,COMPLETED,Breast Cancer,BIOLOGICAL: HER-2 pulsed Dendritic Cell Vaccine,H. Lee Moffitt Cancer Center and Research Institute,,INTERVENTIONAL,2024-02-21
NCT00937183,Dendritic Cell Vaccine in Treating Patients With Indolent B-Cell Lymphoma or Multiple Myeloma,https://clinicaltrials.gov/study/NCT00937183,COMPLETED,Lymphoma|Multiple Myeloma and Plasma Cell Neoplasm,BIOLOGICAL: autologous lymphoma cell lysate-pulsed autologous dendritic cell vaccine|BIOLOGICAL: autologous lymphoma cell/allogeneic dendritic cell electrofusion hybrid vaccine|BIOLOGICAL: autologous lymphoma cell/autologous dendritic cell electrofusion hybrid vaccine,Jan Walewski,,INTERVENTIONAL,2017-12
NCT03548571,Dendritic Cell Immunotherapy Against Cancer Stem Cells in Glioblastoma Patients Receiving Standard Therapy,https://clinicaltrials.gov/study/NCT03548571,RECRUITING,Glioblastoma,BIOLOGICAL: Dendritic cell immunization|DRUG: Adjuvant temozolomide,Oslo University Hospital,,INTERVENTIONAL,2026-05-01
NCT01067287,Blockade of PD-1 in Conjunction With the Dendritic Cell/Myeloma Vaccines Following Stem Cell Transplantation,https://clinicaltrials.gov/study/NCT01067287,ACTIVE_NOT_RECRUITING,Multiple Myeloma,DRUG: CT-011|BIOLOGICAL: Dendritic Cell Fusion Vaccine,Beth Israel Deaconess Medical Center,Dana-Farber Cancer Institute|Brigham and Women's Hospital|Rambam Health Care Campus|Gateway for Cancer Research|United States Department of Defense,INTERVENTIONAL,2024-12
NCT00162929,Her-2/Neu in Patients With Metastatic Breast Cancer (AdHERe),https://clinicaltrials.gov/study/NCT00162929,COMPLETED,Metastatic Breast Cancer,BIOLOGICAL: AdHer-2/neu transduced dendritic cells,Ontario Clinical Oncology Group (OCOG),Ontario Cancer Research Network|Canadian Breast Cancer Research Alliance,INTERVENTIONAL,2012-05
NCT02649582,Adjuvant Dendritic Cell-immunotherapy Plus Temozolomide in Glioblastoma Patients,https://clinicaltrials.gov/study/NCT02649582,ACTIVE_NOT_RECRUITING,Glioblastoma Multiforme of Brain,BIOLOGICAL: Dendritic cell vaccine plus temozolomide chemotherapy,"University Hospital, Antwerp",,INTERVENTIONAL,2025-12
NCT02820584,A Phase I Study of Immunotherapy With GSC -Loaded Dendritic Cells in Patients With Recurrent Glioblastoma,https://clinicaltrials.gov/study/NCT02820584,COMPLETED,de Novo Glioblastoma,BIOLOGICAL: GSC-loaded autologous dendritic cells,Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,,INTERVENTIONAL,2017-06
NCT00006434,Tumor Lysate Pulsed-Dendritic Cell Vaccines After High-Dose Chemotherapy for Non-Hodgkin's Lymphoma,https://clinicaltrials.gov/study/NCT00006434,COMPLETED,"Lymphoma, Non-Hodgkin",BIOLOGICAL: tumor-pulsed dendritic cells,National Center for Research Resources (NCRR),,INTERVENTIONAL,
NCT06522919,Sequential Immunochemotherapy Treatment With Pembrolizumab Plus Dendritic Cell (DC) Vaccine Followed by Trifluridine/Tipiracil Plus Bevacizumab in Refractory Mismatch-repair-proficient (pMMR) or Microsatellite-stable (MSS) Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT06522919,NOT_YET_RECRUITING,Colorectal Cancer Metastatic|Microsatellite Stable Colorectal Carcinoma|Refractory Mismatch-repair-proficient (pMMR) Metastatic Colorectal Cancer,BIOLOGICAL: Autologous Dendritic Cell (DC) Vaccine,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,,INTERVENTIONAL,2026-09-01
NCT02061332,DC Vaccine for Patients With Ductal Carcinoma In Situ,https://clinicaltrials.gov/study/NCT02061332,COMPLETED,Breast Cancer|DCIS,BIOLOGICAL: HER-2 Pulsed Dendritic cell Vaccine,Abramson Cancer Center at Penn Medicine,,INTERVENTIONAL,2015-10-07
NCT03152565,Avelumab Plus Autologous Dendritic Cell Vaccine in Pre-treated Metastatic Colorectal Cancer Patients,https://clinicaltrials.gov/study/NCT03152565,COMPLETED,Colorectal Carcinoma,DRUG: Avelumab,Grupo Espanol Multidisciplinario del Cancer Digestivo,,INTERVENTIONAL,2020-10-05
NCT05767684,Neoantigen Derived DCs as Cancer Treatment,https://clinicaltrials.gov/study/NCT05767684,RECRUITING,Refractory Tumor|Solid Tumor,BIOLOGICAL: Dendritic Cell Vaccine|DRUG: Lenvatinib|DRUG: Nivolumab,"National Health Research Institutes, Taiwan",National Cheng-Kung University Hospital,INTERVENTIONAL,2026-03-30
NCT01617629,Ovarian Cancer Vaccine for Patients Who Have Progressed During the CAN-003 Study,https://clinicaltrials.gov/study/NCT01617629,COMPLETED,Epithelial Ovarian Cancer,BIOLOGICAL: MUC1 Dendritic Cell Vaccine (Cvac),Prima BioMed Ltd,,INTERVENTIONAL,2014-04
NCT00108264,Tumor RNA Transfected Dendritic Cell Vaccines,https://clinicaltrials.gov/study/NCT00108264,COMPLETED,Prostate Cancer,BIOLOGICAL: Tumor RNA transfected dendritic cells,US Department of Veterans Affairs,,INTERVENTIONAL,2005-09
NCT03546426,Pembrolizumab Plus Autologous Dendritic Cell Vaccine in Patients with PD-L1 Negative Advanced Mesothelioma Who Have Failed Prior Therapies,https://clinicaltrials.gov/study/NCT03546426,ACTIVE_NOT_RECRUITING,"Mesothelioma, Malignant|PD-L1 Negative|Advanced Cancer|Progressive Disease",DRUG: Pembrolizumab|BIOLOGICAL: Autologous dendritic cells|DRUG: Interleukin-2,Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,,INTERVENTIONAL,2028-09
NCT00893945,Autologous Dendritic Cells Pulsed With Autologous Apoptotic Tumor Cells Administered to Patients With Brain Tumors,https://clinicaltrials.gov/study/NCT00893945,COMPLETED,Brain Tumors,DRUG: DC/AAT|DRUG: DC/AAT-Flu|DRUG: DC/KLH,Rockefeller University,Memorial Sloan Kettering Cancer Center,INTERVENTIONAL,2013-12
