NCT Number,Study Title,Study URL,Study Status,Conditions,Combinatorial Treatment,Interventions
NCT04968366,Safety & Efficacy of DC Vaccine and TMZ for the Treatment of Newly-diagnosed Glioblastoma After Surgery,https://clinicaltrials.gov/study/NCT04968366,Active (not recruiting),Glioblastoma,Temozolomide,BIOLOGICAL: Autologous dendritic cells pulsed with multiple neoantigen peptides.|DRUG: Temozolomide adjuvant chemotherapy
NCT05799612,Phase I Study of TH1 Dendritic Cell Immunotherapy for the Treatment of Cutaneous Angiosarcoma,https://clinicaltrials.gov/study/NCT05799612,Recruiting,Angiosarcoma,"Pegylated-IFN a-2A, Filgrastim",DRUG: Paclitaxel|BIOLOGICAL: mRNA plus Lysate-loaded Dendritic Cell Vaccine|DRUG: PEGYLATED-INTERFERON ALPHA-2A|DRUG: Filgrastim
NCT04739527,"Phase 1 Study to Evaluate the Safety, Feasibility and Immunogenicity of an Allogeneic, Cell-based Vaccine (DCP-001) in High Grade Serous Ovarian Cancer Patients After Primary Treatment",https://clinicaltrials.gov/study/NCT04739527,Active (not recruiting),Ovarian Cancer,Single agent,BIOLOGICAL: DCP-001
NCT04963413,RENEW: Feasibility of CMV RNA-Pulsed Dendritic Cells Vaccines for the Treatment of Newly Diagnosed Glioblastoma Patients.,https://clinicaltrials.gov/study/NCT04963413,Terminated,Glioblastoma,GM-CSF,BIOLOGICAL: Autologous DCs derived from PBMC loaded with RNA encoding the human CMV matrix protein pp65-flLAMP plus GM-CSF
NCT05765084,Integration of the PD-L1 Inhibitor Atezolizumab and WT1/DC Vaccination Into Platinum/Pemetrexed-based First-line Treatment for Epithelioid Malignant Pleural Mesothelioma,https://clinicaltrials.gov/study/NCT05765084,Recruiting,Malignant Pleural Mesothelioma,"Atezolizumab, Platinum/pemetrexed",BIOLOGICAL: Dendritic cell vaccination|DRUG: Atezolizumab|DRUG: Platinum/pemetrexed based chemotherapy
NCT05007496,"Preventive Dendritic Cell Vaccine, AV-COVID-19, in Subjects Not Actively Infected With COVID-19",https://clinicaltrials.gov/study/NCT05007496,Completed,COVID-19,Single agent,BIOLOGICAL: AV-COVID-19
NCT05325632,"Study of HER2 Directed Dendritic Cell (DC1) Vaccine + Weekly Paclitaxel, Trastuzumab & Pertuzumab",https://clinicaltrials.gov/study/NCT05325632,Recruiting,Breast Cancer,"Trastuzumab, Paclitaxel",BIOLOGICAL: HER-2 pulsed DC1|DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Paclitaxel|PROCEDURE: Resection surgery
NCT05920798,A Study of FRaDCs for Ovarian Cancer,https://clinicaltrials.gov/study/NCT05920798,Recruiting,Fallopian Tube Carcinosarcoma,Pembrolizumab,PROCEDURE: Biopsy|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|BIOLOGICAL: Multi-epitope Folate Receptor Alpha-loaded Dendritic Cell Vaccine|BIOLOGICAL: Pembrolizumab|PROCEDURE: Pheresis
NCT06253494,"Pembrolizumab, Lenvatinib and IL-15 Superagonist N-803 in Combination With HER2 Targeting Autologous Dendritic Cell (AdHER2DC) Vaccine in Participants With Advanced or Metastatic Endometrial Cancer",https://clinicaltrials.gov/study/NCT06253494,Recruiting,Endometrial Cancer,"Pembrolizumab, N-803, Lenvatinib",BIOLOGICAL: AdHER2DC vaccine|BIOLOGICAL: Pembrolizumab|BIOLOGICAL: N-803|DRUG: Lenvatinib|DEVICE: PATHWAY HER2 (4B5) assay
NCT05344209,Efficacy and Safety of Anti-PD-1/PD-L1 Treatment +/- UV1 Vaccination in Patients With Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT05344209,Recruiting,Non-small Cell Lung Cancer,Anti-PD-1/PD-L1,BIOLOGICAL: UV1|DRUG: Sagramostim|DRUG: Anti-PD-1/PD-L1 treatment
NCT05631886,Combination of CAR-DC Vaccine and ICIs in Malignant Tumors,https://clinicaltrials.gov/study/NCT05631886,Recruiting,Solid Tumor,"Abraxane, Cyclophosphamide, anti-PD-1 monoclonal antibody, anti-CTLA4 monoclonal antibody",BIOLOGICAL: TP53-EphA-2-CAR-DC|DRUG: Abraxane|DRUG: Cyclophosphamide|DRUG: anti-PD-1 antibody|DRUG: Anti-CTLA4 Monoclonal Antibody
NCT05631899,CAR-DC Vaccine and ICIs in Local Advanced/Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT05631899,Recruiting,Solid Tumor,"Abraxane, Cyclophosphamide, anti-PD-1 monoclonal antibody, anti-CTLA4 monoclonal antibody",BIOLOGICAL: KRAS-EphA-2-CAR-DC|DRUG: Abraxane|DRUG: Cyclophosphamide|DRUG: Anti-PD-1 antibody|DRUG: Anti-CTLA4 Monoclonal Antibody
NCT06100705,Sipuleucel-T Combined With Bipolar Androgen Therapy in Men With mCRPC,https://clinicaltrials.gov/study/NCT06100705,Recruiting,Prostate Cancer,"Testosterone Cypionate, Sipuleucel-T",DRUG: Testosterone Cypionate|DRUG: Sipuleucel-T
